name,value,scale
住宅賃貸業,197488.3796,200000
公    務,196624.4989,200000
卸売業,179796.1339,200000
対事業所サービス,137698.8881,200000
電気機械,91215.42711,200000
（民間）公共サービス,85958.30979,200000
（民間）電力業,29190.50622,200000
（政府）電気・ガス・水道業,22823.7769,200000
（対家計民間非営利）その他,16430.55421,200000
 鉄鋼,7013.252282,200000
その他の製造業,-4157.444915,200000
ゴム製品,-4288.751095,200000
対個人サービス,-5678.483906,200000
一般機械,-9311.326482,200000
石油・石炭製品,-9588.230334,200000
運輸業,-11998.65372,200000
その他の不動産業,-22082.87199,200000
建設業,-25056.48324,200000
金融・保険業,-41487.55732,200000
通信業,-127866.2802,-150000
