name,value,scale
製造業,123669.24,140000
卸売・小売業,61950.78,140000
（民間）サービス業,50933.93,140000
建設業,37553.12,140000
不動産業,31597.59,140000
運輸・通信業,21501.03,140000
金融・保険業,20386.54,140000
公務,17058.61,140000
（政府）サービス業,12695.62,140000
農林水産業,11593.17,140000
（対家計民間非営利）サービス業,5484.04,140000
（民間）電気・ガス・水道業,4255.64,140000
鉱業,2639.65,140000
（政府）電気・ガス・水道業,1083.10,-100000
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
