name,value,scale
製造業,67777.80,140000
卸売・小売業,29858.55,140000
建設業,26966.10,140000
運輸・通信業,18422.95,140000
不動産業,16456.40,140000
公務,14391.30,140000
（政府）サービス業,13862.05,140000
金融・保険業,8148.45,140000
農林水産業,4951.10,140000
（対家計民間非営利）サービス業,4178.80,140000
（民間）電気・ガス・水道業,4151.45,140000
（政府）電気・ガス・水道業,747.40,140000
鉱業,-444.05,140000
（民間）サービス業,-5933.85,-100000
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
"",0,0
